nt;1;'n_term'
nt;2;'n_form'
nt;4;'n_pos'
nt;5;'n_concept'
nt;6;'n_flpot'
nt;8;'n_chunk'
nt;9;'n_question'
nt;10;'n_relation'
nt;18;'n_data'
nt;36;'n_data_pot'
nt;200;'n_context'
nt;444;'n_link'
nt;666;'n_AKI'
nt;777;'n_wikipedia'
e;39739;'asclépiade';1;50
e;39942;'soya';1;52
e;40176;'pulsatille';1;50
e;40654;'cytise';1;50
e;40727;'cassis';1;274
e;41551;'bigaradier';1;52
e;41844;'labelle';1;50
e;42482;'pommette';1;98
e;42556;'azalée';1;56
e;42643;'pois de senteur';1;60
e;42796;'génépi';1;50
e;42852;'mélilot';1;50
e;42918;'éphémère';1;112
e;43555;'campêche';1;58
e;44272;'vulnéraire';1;50
e;44403;'pulmonaire';1;124
e;44514;'bouillon-blanc';1;50
e;45327;'mahonia';1;50
e;45424;'papyrus';1;98
e;45538;'ulmacée';1;50
e;45763;'dieffenbachia';1;50
e;45992;'guimauve';1;108
e;46192;'ache';1;52
e;47004;'gui';1;70
e;47434;'lentisque';1;50
e;47679;'fenugrec';1;60
e;47872;'arbre de Judée';1;50
e;48099;'posidonie';1;50
e;48925;'pimprenelle';1;54
e;49098;'muguet';1;250
e;49265;'orchidée';1;124
e;49592;'bibacier';1;50
e;49777;'rampant';1;114
e;49817;'mimosa';1;64
e;50127;'gantelée';1;52
e;50381;'oléagineux';1;62
e;50634;'caméline';1;50
e;50731;'bugle';1;52
e;50765;'clématite';1;80
e;50848;'agérate';1;50
e;50977;'petite centaurée';1;50
e;51147;'redoul';1;50
e;51358;'ipécacuana';1;50
e;51581;'séné';1;50
e;51881;'colchique';1;50
e;52217;'cognassier';1;82
e;52255;'arbre';1;5070
e;52684;'teinturier';1;98
e;52814;'pyrèthre';1;50
e;52825;'bouleau';1;94
e;52946;'auréole';1;84
e;53269;'simple';1;378
e;53367;'agripaume';1;50
e;53489;'ancolie';1;50
e;53686;'plantes médicinales';1;70
e;53787;'ulmaire';1;50
e;53930;'lotus';1;52
e;53933;'figuier de Barbarie';1;50
e;53975;'cinéraire';1;50
e;54011;'margousier';1;50
e;54115;'pélargonium';1;54
e;54335;'tagète';1;50
e;54726;'lunaire';1;172
e;54979;'plantes à fleurs';1;52
e;55022;'aspérule odorante';1;58
e;55221;'navet';1;166
e;55342;'épais';1;278
e;55723;'eucalyptus';1;76
e;55858;'rhubarbe';1;74
e;55947;'érable champêtre';1;50
e;56024;'gypsophile';1;50
e;56227;'casse-pierre';1;50
e;57124;'sisymbre';1;52
e;57205;'soldanelle';1;50
e;57449;'filipendule';1;50
e;58117;'baromètre';1;68
e;58277;'bacille';1;132
e;58781;'ponceau';1;60
e;58812;'corrude';1;50
e;59123;'pourpier';1;58
e;59145;'consoude';1;50
e;59326;'lycope';1;50
e;59345;'filaire';1;62
e;59555;'souci';1;184
e;59819;'persicaire';1;50
e;60433;'tigridia';1;50
e;60454;'pavot';1;82
e;60589;'achillée';1;50
e;60705;'éphédra';1;50
e;60813;'maté';1;68
e;60814;'bergamotier';1;82
e;60856;'bardane';1;50
